Item ID,Name,Width (cm),Depth (cm),Height (cm),Mass (kg),Priority (1-100),Expiry Date (ISO Format),Usage Limit,Preferred Zone
ITEM1054,Neural Interface,42,7,161,37,18,,,Storage
ITEM1055,Chemical Analyzer,10,95,125,31,32,30-04-2034,,Airlock
ITEM1056,Digital Multimeter,8,100,174,19,11,,,Sanitation
ITEM1057,Phase Modulator,28,82,138,8,26,23-06-2033,76.0,Airlock
ITEM1058,RFID Scanner,97,76,178,33,5,19-08-2029,83.0,Control Room
ITEM1059,AI Assistant Module,17,41,22,7,47,17-07-2031,179.0,Workshop
ITEM1060,Gravitational Stabilizer,26,28,99,25,32,21-11-2027,,Airlock
ITEM1061,Force Sensor,21,34,184,49,3,29-01-2033,,Workshop
ITEM1062,Soundproof Panel,78,91,140,16,30,01-11-2031,,Workshop
ITEM1063,Heat Exchanger,89,96,118,33,34,,,Workshop
ITEM1064,Vacuum Pump,56,100,25,7,97,01-03-2034,,Workshop
ITEM1065,Biofuel Cell,92,88,14,25,27,,124.0,Control Room
ITEM1066,Kinetic Energy Harvester,13,89,173,20,45,29-08-2028,,Airlock
ITEM1067,Electromagnetic Shield,35,76,58,35,93,,161.0,Sanitation
ITEM1068,Nano-coating Spray,58,36,73,25,6,10-12-2033,,Sanitation
ITEM1069,Cryo Pack,85,72,49,8,83,,,Airlock
ITEM1070,Graphene Battery,51,58,77,37,42,01-07-2028,376.0,Storage
ITEM1071,Supercapacitor,50,53,17,33,60,04-12-2030,334.0,Sanitation
ITEM1072,Vibration Dampener,58,68,34,43,82,,244.0,Control Room
ITEM1073,Temperature Probe,74,40,136,36,24,,204.0,Storage
ITEM1074,Fluid Dispenser,15,16,199,34,63,03-10-2030,379.0,Workshop
ITEM1075,Self-healing Polymer,77,96,107,20,39,31-12-2029,162.0,Control Room
ITEM1076,Adaptive Armor,14,68,168,1,62,,,Sanitation
ITEM1077,Holographic Display,45,92,199,22,75,12-09-2033,,Control Room
ITEM1078,Pressure Sensor,27,11,113,42,54,18-06-2027,,Sanitation
ITEM1079,Sonic Screwdriver,35,43,74,33,92,,281.0,Airlock
ITEM1080,Gyroscope Module,70,7,176,33,79,,97.0,Airlock
ITEM1081,Emergency Ration Kit,73,65,153,7,6,28-09-2028,460.0,Workshop
ITEM1082,Fireproof Suit,18,35,125,26,35,14-07-2026,348.0,Storage
ITEM1083,LED Signal Flare,13,95,169,18,32,07-08-2029,,Workshop
ITEM1084,Antenna Booster,73,47,22,15,30,02-08-2034,211.0,Storage
ITEM1085,Air Compressor,43,46,31,15,22,10-01-2031,,Airlock
ITEM1086,Waterproof Case,91,79,25,29,44,,,Workshop
ITEM1087,Infrared Sensor,58,34,140,38,30,,128.0,Workshop
ITEM1088,Plasma Shield,32,50,108,11,94,09-10-2029,,Airlock
ITEM1089,Thermoelectric Generator,82,16,141,24,66,16-09-2029,78.0,Sanitation
ITEM1090,Solar Stove,67,41,180,34,1,23-03-2030,,Airlock
ITEM1091,Space Blanket,6,34,149,25,99,08-05-2030,126.0,Sanitation
ITEM1092,Ballistic Shield,31,13,24,43,49,,,Sanitation
ITEM1093,Robotic Assistant,39,34,35,31,72,13-09-2026,,Control Room
ITEM1094,Mechanical Exosuit,46,60,89,28,68,24-01-2029,,Workshop
ITEM1095,Vacuum Sealer,20,25,31,25,27,14-02-2033,,Workshop
ITEM1096,Electrolyte Supplement,34,52,48,41,9,17-10-2026,351.0,Storage
ITEM1097,Radiation-Proof Helmet,39,33,71,50,1,31-12-2028,,Sanitation
ITEM1098,Electrostatic Cleaner,20,54,195,6,95,06-12-2028,,Workshop
ITEM1099,Anti-microbial Coating,18,6,85,30,63,16-01-2028,126.0,Workshop
ITEM1100,Power Inverter,45,18,105,27,25,05-06-2027,96.0,Airlock
ITEM1101,Automated Repair Drone,19,67,39,17,19,14-09-2029,350.0,Sanitation
ITEM1102,3D Bioprinter,82,74,162,42,2,01-01-2029,394.0,Storage
ITEM1103,Aerodynamic Stabilizer,31,37,23,10,43,26-02-2031,,Control Room
ITEM1104,Space Suit Upgrade Kit,86,29,83,42,91,,329.0,Workshop
ITEM1105,Thermal Expansion Regulator,83,5,36,43,72,25-03-2029,97.0,Airlock
ITEM1106,Cooling Gel Pack,10,18,100,41,19,19-12-2026,,Airlock
ITEM1107,Advanced Circuit Board,46,9,134,4,98,12-11-2027,215.0,Workshop
ITEM1108,Drone Deployment Kit,43,45,66,23,68,11-04-2032,77.0,Workshop
ITEM1109,Emergency Escape Module,93,93,35,29,76,05-02-2030,,Control Room
ITEM1110,Biohazard Containment Unit,54,24,89,23,64,19-05-2027,,Airlock
ITEM1111,Quantum Encryption Module,36,14,79,42,35,23-03-2033,,Storage
ITEM1112,Plasma Refinement Tool,63,8,17,33,36,,,Control Room
ITEM1113,Neutron Absorber,62,43,185,23,28,04-02-2034,353.0,Workshop
ITEM1114,Nano-Fabrication Unit,41,28,95,2,26,,488.0,Control Room
ITEM1115,Energy Harvesting Tile,97,8,136,2,90,23-06-2033,,Control Room
ITEM1116,Fusion Reactor Core,11,89,194,27,29,06-07-2029,,Sanitation
ITEM1117,Microgravity Research Kit,26,24,132,7,20,04-05-2031,182.0,Control Room
ITEM1118,Adaptive Thruster System,47,70,56,16,95,,493.0,Storage
ITEM1119,AI-powered Diagnostics Tool,32,44,88,16,81,19-04-2034,,Sanitation
ITEM1120,Haptic Feedback System,94,99,60,37,79,,331.0,Workshop
